n,p,dataset,max_iters,val
50,10,7,2,1.050872928
50,10,7,2,1.305794602
50,10,7,2,1.333485557
50,10,8,2,0.479214114
50,10,8,2,0.482751144
50,10,8,2,0.495706162
50,10,8,2,0.500530206
50,10,8,2,0.59115651
50,10,8,2,0.700058905
50,10,8,2,0.953349258
50,10,8,2,0.95623351
50,10,8,2,1.044219155
50,10,8,2,1.07836482
50,10,9,2,0.447209273
50,10,9,2,0.652007199
50,10,9,2,0.684498431
50,10,9,2,0.74215215
50,10,9,2,0.793871128
50,10,9,2,0.843594678
50,10,9,2,0.884930293
50,10,9,2,0.990995107
50,10,9,2,1.01304366
50,10,9,2,1.108131037
50,10,10,2,0.654756308
50,10,10,2,0.680896262
50,10,10,2,0.697928647
50,10,10,2,0.720240397
50,10,10,2,0.73901733
50,10,10,2,0.745184834
50,10,10,2,0.870109907
50,10,10,2,0.909656912
50,10,10,2,1.098004905
50,10,10,2,1.13139088
50,1,1,Inf,3.59E-07
50,1,1,Inf,3.76E-05
50,1,1,Inf,4.20E-05
50,1,1,Inf,5.21E-05
50,1,1,Inf,7.94E-05
50,1,1,Inf,8.06E-05
50,1,1,Inf,8.40E-05
50,1,1,Inf,9.38E-05
50,1,1,Inf,0.00012405
50,1,1,Inf,0.000268287
50,1,2,Inf,1.36E-05
50,1,2,Inf,1.71E-05
50,1,2,Inf,4.39E-05
50,1,2,Inf,5.87E-05
50,1,2,Inf,0.000115881
50,1,2,Inf,0.000119853
50,1,2,Inf,0.000158915
50,1,2,Inf,0.000197091
50,1,2,Inf,0.000264263
50,1,2,Inf,0.00074923
50,1,3,Inf,4.05E-06
50,1,3,Inf,1.04E-05
50,1,3,Inf,1.43E-05
50,1,3,Inf,4.90E-05
50,1,3,Inf,5.28E-05
50,1,3,Inf,6.42E-05
50,1,3,Inf,7.94E-05
50,1,3,Inf,0.000111627
50,1,3,Inf,0.000123323
50,1,3,Inf,0.000220226
50,1,4,Inf,3.46E-05
50,1,4,Inf,6.02E-05
50,1,4,Inf,6.03E-05
50,1,4,Inf,8.05E-05
50,1,4,Inf,8.10E-05
50,1,4,Inf,0.000116719
50,1,4,Inf,0.000122581
50,1,4,Inf,0.000152104
50,1,4,Inf,0.000311116
50,1,4,Inf,0.000516842
50,1,5,Inf,3.27E-05
50,1,5,Inf,3.85E-05
50,1,5,Inf,6.36E-05
50,1,5,Inf,7.99E-05
50,1,5,Inf,8.01E-05
50,1,5,Inf,8.98E-05
50,1,5,Inf,0.000101735
50,1,5,Inf,0.000114686
50,1,5,Inf,0.000118204
50,1,5,Inf,0.000216206
50,1,6,Inf,3.59E-05
50,1,6,Inf,9.65E-05
50,1,6,Inf,0.000150803
50,1,6,Inf,0.000152548
50,1,6,Inf,0.000155767
50,1,6,Inf,0.000160562
50,1,6,Inf,0.000191787
50,1,6,Inf,0.000216592
50,1,6,Inf,0.000228711
50,1,6,Inf,0.000311048
50,1,7,Inf,1.87E-06
50,1,7,Inf,1.90E-06
50,1,7,Inf,4.72E-06
50,1,7,Inf,6.53E-06
50,1,7,Inf,3.24E-05
50,1,7,Inf,4.40E-05
50,1,7,Inf,4.67E-05
50,1,7,Inf,0.000198177
50,1,7,Inf,0.000254845
50,1,7,Inf,0.000260025
50,1,8,Inf,1.73E-06
50,1,8,Inf,3.20E-05
50,1,8,Inf,3.29E-05
50,1,8,Inf,5.59E-05
50,1,8,Inf,7.63E-05
50,1,8,Inf,0.000150778
50,1,8,Inf,0.000172601
50,1,8,Inf,0.000195975
50,1,8,Inf,0.000199786
50,1,8,Inf,0.000380461
50,1,9,Inf,2.52E-07
50,1,9,Inf,3.21E-05
50,1,9,Inf,5.46E-05
50,1,9,Inf,0.000161122
50,1,9,Inf,0.000174502
50,1,9,Inf,0.000201108
50,1,9,Inf,0.000202883
50,1,9,Inf,0.000250206
50,1,9,Inf,0.000255409
50,1,9,Inf,0.00035817
50,1,10,Inf,7.23E-06
50,1,10,Inf,2.10E-05
50,1,10,Inf,3.85E-05
50,1,10,Inf,6.41E-05
50,1,10,Inf,7.88E-05
50,1,10,Inf,9.04E-05
50,1,10,Inf,0.00015629
50,1,10,Inf,0.000165426
50,1,10,Inf,0.000211083
50,1,10,Inf,0.000246637
50,2,1,Inf,0.001608377
50,2,1,Inf,0.002450208
50,2,1,Inf,0.002591269
50,2,1,Inf,0.002637129
50,2,1,Inf,0.002802657
50,2,1,Inf,0.002847266
50,2,1,Inf,0.003689185
50,2,1,Inf,0.004420884
50,2,1,Inf,0.005264372
50,2,1,Inf,0.009967807
50,2,2,Inf,0.001083926
50,2,2,Inf,0.00211875
50,2,2,Inf,0.002288048
50,2,2,Inf,0.004438834
50,2,2,Inf,0.00541618
50,2,2,Inf,0.005794803
50,2,2,Inf,0.007417109
50,2,2,Inf,0.007876384
50,2,2,Inf,0.009620949
50,2,2,Inf,0.010205029
50,2,3,Inf,0.002415635
50,2,3,Inf,0.004489922
50,2,3,Inf,0.004620093
50,2,3,Inf,0.004953621
50,2,3,Inf,0.005646853
50,2,3,Inf,0.008483538
50,2,3,Inf,0.008598624
50,2,3,Inf,0.009537121
50,2,3,Inf,0.009608912
50,2,3,Inf,0.010826066
50,2,4,Inf,0.001594378
50,2,4,Inf,0.001863129
50,2,4,Inf,0.002794814
50,2,4,Inf,0.003301332
50,2,4,Inf,0.004483331
50,2,4,Inf,0.004949283
50,2,4,Inf,0.005042229
50,2,4,Inf,0.005056818
50,2,4,Inf,0.00617107
50,2,4,Inf,0.006534217
50,2,5,Inf,0.001354093
50,2,5,Inf,0.003147785
50,2,5,Inf,0.005291836
50,2,5,Inf,0.006038944
50,2,5,Inf,0.006414123
50,2,5,Inf,0.006648664
50,2,5,Inf,0.007002964
50,2,5,Inf,0.008665655
50,2,5,Inf,0.010757423
50,2,5,Inf,0.011247731
50,2,6,Inf,0.001744557
50,2,6,Inf,0.003062339
50,2,6,Inf,0.003200453
50,2,6,Inf,0.004640854
50,2,6,Inf,0.005676869
50,2,6,Inf,0.006034901
50,2,6,Inf,0.007062187
50,2,6,Inf,0.008066331
50,2,6,Inf,0.008561978
50,2,6,Inf,0.014084831
50,2,7,Inf,0.000500437
50,2,7,Inf,0.000721563
50,2,7,Inf,0.000881238
