n,p,r,val
1000,5,1,0.000635638
1000,5,1,0.000729001
1000,5,1,0.000743377
1000,5,1,0.000880967
1000,5,1,0.000915414
1000,5,1,0.001003982
1000,5,1,0.001023155
1000,5,1,0.001031116
1000,5,1,0.001031668
1000,5,1,0.001105801
1000,5,1,0.00111997
1000,5,1,0.001171435
1000,5,1,0.001186241
1000,5,1,0.001234101
1000,5,1,0.001276705
1000,5,1,0.001283057
1000,5,1,0.001288505
1000,5,1,0.001300126
1000,5,1,0.001303489
1000,5,1,0.001312719
1000,5,1,0.001376504
1000,5,1,0.001403491
1000,5,1,0.001424164
1000,5,1,0.001446702
1000,5,1,0.001453524
1000,5,1,0.001456245
1000,5,1,0.001487364
1000,5,1,0.001522461
1000,5,1,0.001591675
1000,10,1,0.006202431
1000,10,1,0.006437887
1000,10,1,0.007390888
1000,10,1,0.007473361
1000,10,1,0.007477988
1000,10,1,0.007479292
1000,10,1,0.007788141
1000,10,1,0.007859034
1000,10,1,0.008063044
1000,10,1,0.008509761
1000,10,1,0.008606959
1000,10,1,0.008624976
1000,10,1,0.008632989
1000,10,1,0.00866849
1000,10,1,0.008941471
1000,10,1,0.008999962
1000,10,1,0.009014368
1000,10,1,0.00907391
1000,10,1,0.009104254
1000,10,1,0.00911954
1000,10,1,0.009264626
1000,10,1,0.00932762
1000,10,1,0.009729031
1000,10,1,0.009887206
1000,10,1,0.009984166
1000,10,1,0.010222081
1000,10,1,0.010423101
1000,10,1,0.010461451
1000,10,1,0.010470524
1000,10,1,0.01138107
1000,20,1,0.029606546
1000,20,1,0.030285789
1000,20,1,0.031042908
1000,20,1,0.031930302
1000,20,1,0.032189286
1000,20,1,0.032255396
1000,20,1,0.032704668
1000,20,1,0.033323202
1000,20,1,0.034867796
1000,20,1,0.035422132
1000,20,1,0.035551655
1000,20,1,0.03587516
1000,20,1,0.035946042
1000,20,1,0.03597254
1000,20,1,0.036248272
1000,20,1,0.036408242
1000,20,1,0.036450676
1000,20,1,0.036490197
1000,20,1,0.036692292
1000,20,1,0.036738666
1000,20,1,0.037075657
1000,20,1,0.03745644
1000,20,1,0.03749301
1000,20,1,0.038211155
1000,20,1,0.038964132
1000,20,1,0.039003666
1000,20,1,0.039277437
1000,20,1,0.039686086
1000,20,1,0.047236766
1000,20,1,0.070323328
1000,40,1,0.102212618
1000,40,1,0.108590415
1000,40,1,0.108653584
1000,40,1,0.109932415
1000,40,1,0.111443917
1000,40,1,0.112902054
1000,40,1,0.113372904
1000,40,1,0.116401178
1000,40,1,0.116637406
1000,40,1,0.11786436
1000,40,1,0.119554225
1000,40,1,0.119721465
1000,40,1,0.120253521
1000,40,1,0.120333041
1000,40,1,0.122023576
1000,40,1,0.122568747
1000,40,1,0.127227267
1000,40,1,0.129330183
1000,40,1,0.130986053
1000,40,1,0.131460898
1000,40,1,0.132282502
1000,40,1,0.136608795
1000,40,1,0.137143573
1000,40,1,0.137951214
1000,40,1,0.141444764
1000,40,1,0.144023258
1000,40,1,0.147994363
1000,40,1,0.155886936
1000,40,1,0.168649365
1000,40,1,0.17357176
1000,80,1,0.346318729
1000,80,1,0.3530674
1000,80,1,0.375608319
1000,80,1,0.383763252
1000,80,1,0.394335467
1000,80,1,0.402987973
1000,80,1,0.404342682
1000,80,1,0.412489634
1000,80,1,0.42227449
1000,80,1,0.428112615
1000,80,1,0.428405426
1000,80,1,0.430602571
