n,p,r,d,val
100,5,100,12,0.008866572
100,5,100,13,0.019427609
100,5,100,14,0.016729932
100,5,100,15,0.014761472
100,5,100,16,0.014036831
100,5,100,17,0.01245457
100,5,100,18,0.015895206
100,5,100,19,0.009835442
100,5,100,20,0.015251332
100,5,100,21,0.011984872
100,5,100,22,0.014134157
100,5,100,23,0.00424563
100,5,100,24,0.013060078
100,5,100,25,0.013467219
100,5,500,1,0.008377687
100,5,500,2,0.0084882
100,5,500,3,0.011003438
100,5,500,4,0.004506069
100,5,500,5,0.009456599
100,5,500,6,0.007962231
100,5,500,7,0.010120989
100,5,500,8,0.010585929
100,5,500,9,0.00840279
100,5,500,10,0.00975458
100,5,500,11,0.008602944
100,5,500,12,0.006404542
100,5,500,13,0.010100087
100,5,500,14,0.014037947
100,5,500,15,0.010083487
100,5,500,16,0.009502617
100,5,500,17,0.010228097
100,5,500,18,0.010458509
100,5,500,19,0.007735111
100,5,500,20,0.00660192
100,5,500,21,0.009702318
100,5,500,22,0.011002346
100,5,500,23,0.009008257
100,5,500,24,0.008969628
100,5,500,25,0.009072106
100,10,1,1,0.155004747
100,10,1,2,0.171430073
100,10,1,3,0.142801182
100,10,1,4,0.114068923
100,10,1,5,0.170478281
100,10,1,6,0.130746111
100,10,1,7,0.134752291
100,10,1,8,0.15291972
100,10,1,9,0.148435027
100,10,1,10,0.112863379
100,10,1,11,0.16773527
100,10,1,12,0.15301759
100,10,1,13,0.141854187
100,10,1,14,0.130660497
100,10,1,15,0.113805201
100,10,1,16,0.122889831
100,10,1,17,0.15769708
100,10,1,18,0.160836369
100,10,1,19,0.119382096
100,10,1,20,0.173645158
100,10,1,21,0.125779819
100,10,1,22,0.15713375
100,10,1,23,0.166247353
100,10,1,24,0.139124883
100,10,1,25,0.153479929
100,10,5,1,0.131341203
100,10,5,2,0.134878729
100,10,5,3,0.134813979
100,10,5,4,0.123184791
100,10,5,5,0.139299666
100,10,5,6,0.126647433
100,10,5,7,0.133320877
100,10,5,8,0.110212867
100,10,5,9,0.131058085
100,10,5,10,0.108265245
100,10,5,11,0.11744514
100,10,5,12,0.106645921
100,10,5,13,0.133495715
100,10,5,14,0.090500178
100,10,5,15,0.114468787
100,10,5,16,0.103404589
100,10,5,17,0.129587594
100,10,5,18,0.111281989
100,10,5,19,0.14612674
100,10,5,20,0.130451563
100,10,5,21,0.112842072
100,10,5,22,0.144832584
100,10,5,23,0.129280835
100,10,5,24,0.083698419
100,10,5,25,0.111523335
100,10,30,1,0.11405197
100,10,30,2,0.09448675
100,10,30,3,0.112872468
100,10,30,4,0.09426772
100,10,30,5,0.069330876
100,10,30,6,0.12798601
100,10,30,7,0.071528648
100,10,30,8,0.126754295
100,10,30,9,0.100453526
100,10,30,10,0.109991015
100,10,30,11,0.122182774
100,10,30,12,0.075176279
100,10,30,13,0.101849898
100,10,30,14,0.097222227
100,10,30,15,0.106471855
100,10,30,16,0.077405577
100,10,30,17,0.09910477
100,10,30,18,0.111598083
100,10,30,19,0.104682847
100,10,30,20,0.101216704
100,10,30,21,0.091136518
100,10,30,22,0.091239695
100,10,30,23,0.092781805
100,10,30,24,0.106012637
100,10,30,25,0.083816305
100,10,100,1,0.100531685
100,10,100,2,0.079033921
100,10,100,3,0.10402164
100,10,100,4,0.099985995
100,10,100,5,0.090806469
100,10,100,6,0.075270741
100,10,100,7,0.090675324
100,10,100,8,0.07284644
100,10,100,9,0.090226416
100,10,100,10,0.080021404
100,10,100,11,0.077621296
100,10,100,12,0.093150537
100,10,100,13,0.074694756
100,10,100,14,0.081020777
100,10,100,15,0.098164245
100,10,100,16,0.06856938
100,10,100,17,0.087344116
100,10,100,18,0.056441324
100,10,100,19,0.097823434
100,10,100,20,0.095990431
100,10,100,21,0.099227541
100,10,100,22,0.111345642
100,10,100,23,0.100122256
100,10,100,24,0.099521686
100,10,100,25,0.095633825
100,10,500,1,0.080923654
100,10,500,2,0.067578712
100,10,500,3,0.081589413
100,10,500,4,0.065186151
